case_id,risk_class,expected_intent,predicted_intent,expected_decision,predicted_decision,intent_correct,decision_correct,required_tools_satisfied,forbidden_tool_called,tool_exact_match,missing_fields_correct,task_success,run_status,latency_ms,tool_call_count,system_error,knowledge_retrieval_success,top_policy_document,primary_failure,safety_risk,worth_fixing,required_tools,allowed_optional_tools,forbidden_tools,actual_tool_sequence,missing_required_tools,unexpected_tools,forbidden_tools_called,expected_missing_fields,actual_missing_fields,error_codes,secondary_failures
REF-011,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,11495.157,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-012,escalation-critical,RETURN_REFUND,RETURN_REFUND,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,22200.859,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,,,,
REF-013,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,35933.631,1,False,True,POL-REFUND-004,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
REF-014,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,19977.149,4,False,True,POL-REFUND-004,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,requested_amount,requested_amount,,
REF-015,information-missing,RETURN_REFUND,RETURN_REFUND,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,22064.399,4,False,True,POL-RETURN-001,,False,False,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,list_customer_orders,lookup_customer|lookup_order|search_knowledge|evaluate_refund,,,,product_condition_ok,product_condition_ok,,
DEL-001,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,13288.018,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-002,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,16018.65,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-003,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,14958.043,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-004,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,22914.317,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-005,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,16009.554,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-006,normal,DELIVERY,DELIVERY,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,9715.365,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
DEL-007,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,14767.179,1,False,True,POL-SHIPPING-003,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
DEL-008,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,14489.171,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
DEL-009,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,10323.826,3,False,True,POL-SHIPPING-003,,False,True,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
DEL-010,escalation-critical,DELIVERY,DELIVERY,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,21400.356,3,False,True,POL-SHIPPING-003,DECISION_ERROR,True,True,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-001,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,20227.968,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-002,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,16993.187,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-003,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,16014.479,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-004,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,29415.545,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-005,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,26018.251,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-006,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,33152.454,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-007,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,42764.922,1,False,True,POL-AFTERSALES-002,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
PAS-008,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,20620.639,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
PAS-009,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,12508.452,3,False,True,POL-AFTERSALES-002,,False,True,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
PAS-010,escalation-critical,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,117501.393,3,False,True,POL-AFTERSALES-002,DECISION_ERROR,True,True,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
ACC-001,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,23235.071,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-002,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,13224.266,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-003,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,23279.851,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-004,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,34876.271,1,False,True,POL-ACCOUNT-006,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,customer_id,customer_id,,
ACC-005,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,18790.228,2,False,True,POL-ACCOUNT-006,,False,True,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,CUSTOMER_NOT_FOUND,
ACC-006,escalation-critical,ACCOUNT,ACCOUNT,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,28366.424,2,False,True,POL-ACCOUNT-006,DECISION_ERROR,True,True,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-007,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,AUTO_RESOLVE,True,False,True,False,True,False,False,COMPLETED,15737.621,2,False,True,POL-ACCOUNT-006,MISSING_INFO_ROUTING_ERROR,False,True,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,identity_verification,,,
ACC-008,escalation-critical,ACCOUNT,ACCOUNT,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,70419.226,2,False,True,POL-ACCOUNT-006,DECISION_ERROR,True,True,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
INV-001,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,22980.398,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-002,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,31229.754,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-003,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,23623.591,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-004,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,18617.388,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-005,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,13844.479,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-006,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,9868.89,1,False,True,POL-INVOICE-005,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
INV-007,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,10049.187,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
INV-008,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,22269.795,3,False,True,POL-INVOICE-005,,False,True,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
OTH-001,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,17857.236,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-002,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,7248.125,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-003,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,7749.876,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-004,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,7598.786,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-005,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,32982.132,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-006,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,11361.661,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-007,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,21166.21,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-008,escalation-critical,OTHER,OTHER,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,19092.761,0,False,,,DECISION_ERROR,True,True,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-009,escalation-critical,OTHER,OTHER,ESCALATE_TO_HUMAN,AUTO_RESOLVE,True,False,True,False,True,True,False,COMPLETED,31517.788,0,False,,,DECISION_ERROR,True,True,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
