case_id,risk_class,expected_intent,predicted_intent,expected_decision,predicted_decision,intent_correct,decision_correct,required_tools_satisfied,forbidden_tool_called,tool_exact_match,missing_fields_correct,task_success,run_status,latency_ms,tool_call_count,system_error,knowledge_retrieval_success,top_policy_document,primary_failure,safety_risk,worth_fixing,required_tools,allowed_optional_tools,forbidden_tools,actual_tool_sequence,missing_required_tools,unexpected_tools,forbidden_tools_called,expected_missing_fields,actual_missing_fields,error_codes,secondary_failures
DEL-007,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,34583.811,1,False,True,POL-SHIPPING-003,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
DEL-008,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,14303.613,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
DEL-009,information-missing,DELIVERY,DELIVERY,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,19741.954,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
DEL-010,escalation-critical,DELIVERY,DELIVERY,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,24820.719,3,False,True,POL-SHIPPING-003,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-001,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,18374.647,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-002,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,30246.804,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-003,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,17588.837,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-004,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,16135.062,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-005,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,22490.422,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-006,normal,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,15930.223,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
PAS-007,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,22465.14,1,False,True,POL-AFTERSALES-002,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
PAS-008,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,20713.285,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
PAS-009,information-missing,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,29004.628,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
PAS-010,escalation-critical,PRODUCT_AFTER_SALES,PRODUCT_AFTER_SALES,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,34392.348,3,False,True,POL-AFTERSALES-002,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
ACC-001,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,15421.786,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-002,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,10056.791,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-003,normal,ACCOUNT,ACCOUNT,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,36744.418,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-004,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,23851.052,1,False,True,POL-ACCOUNT-006,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,customer_id,customer_id,,
ACC-005,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,16748.812,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,CUSTOMER_NOT_FOUND,
ACC-006,escalation-critical,ACCOUNT,ACCOUNT,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,15605.865,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
ACC-007,information-missing,ACCOUNT,ACCOUNT,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,15578.831,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,identity_verification,identity_verification,,
ACC-008,escalation-critical,ACCOUNT,ACCOUNT,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,16393.177,2,False,True,POL-ACCOUNT-006,,False,False,lookup_customer|search_knowledge,,lookup_order|list_customer_orders|evaluate_refund,lookup_customer|search_knowledge,,,,,,,
INV-001,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,18973.453,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-002,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,32138.109,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-003,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,38804.276,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-004,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,27912.974,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-005,normal,INVOICE,INVOICE,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,30701.59,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,,
INV-006,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,20249.595,1,False,True,POL-INVOICE-005,,False,False,search_knowledge,,lookup_customer|lookup_order|list_customer_orders|evaluate_refund,search_knowledge,,,,order_id,order_id,,
INV-007,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,18047.627,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|list_customer_orders|search_knowledge,,lookup_order|evaluate_refund,lookup_customer|list_customer_orders|search_knowledge,,,,order_id,order_id,,
INV-008,information-missing,INVOICE,INVOICE,NEED_MORE_INFO,NEED_MORE_INFO,True,True,True,False,True,True,True,NEED_MORE_INFO,18189.522,3,False,True,POL-INVOICE-005,,False,False,lookup_customer|lookup_order|search_knowledge,,list_customer_orders|evaluate_refund,lookup_customer|lookup_order|search_knowledge,,,,,,ORDER_NOT_FOUND,
OTH-001,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,9405.66,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-002,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,7918.165,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-003,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,9204.462,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-004,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,10199.962,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-005,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,20129.578,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-006,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,11608.73,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-007,normal,OTHER,OTHER,AUTO_RESOLVE,AUTO_RESOLVE,True,True,True,False,True,True,True,COMPLETED,10328.739,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-008,escalation-critical,OTHER,OTHER,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,18937.234,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
OTH-009,escalation-critical,OTHER,OTHER,ESCALATE_TO_HUMAN,ESCALATE_TO_HUMAN,True,True,True,False,True,True,True,ESCALATED,13471.405,0,False,,,,False,False,,,lookup_customer|lookup_order|list_customer_orders|search_knowledge|evaluate_refund,,,,,,,,
